X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,class
-1.3516723106440225,1.47119758447412,-0.4499655869123407,-0.8464869513880624,-0.37819791824355997,1.2905767265887378,-0.5413243343382059,-0.5761443698191974,1.2823549530406362,-0.3627930426337961,-0.8495628697271801,-0.46884407365421227,-0.6798759050785003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,C_M
-1.029682046470085,-0.6795983680538517,-0.4499655869123407,1.18114458333218,-0.37819791824355997,1.2905767265887378,1.8469952560246732,-0.5761443698191974,1.2823549530406362,-0.3627930426337961,-0.8495628697271801,2.1325287738003547,-0.6798759050785003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BbM
-0.8955194363976113,-0.6795983680538517,-0.4499655869123407,1.18114458333218,-0.37819791824355997,-0.7747106056500191,1.8469952560246732,-0.5761443698191974,-0.7796776353712865,-0.3627930426337961,1.1768681437483883,2.1325287738003547,-0.6798759050785003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BbM
-0.7345243043106428,1.47119758447412,-0.4499655869123407,-0.8464869513880624,-0.37819791824355997,1.2905767265887378,-0.5413243343382059,-0.5761443698191974,1.2823549530406362,-0.3627930426337961,-0.8495628697271801,-0.46884407365421227,-0.6798759050785003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C_M
-0.17104134200625254,1.47119758447412,-0.4499655869123407,-0.8464869513880624,-0.37819791824355997,1.2905767265887378,-0.5413243343382059,-0.5761443698191974,1.2823549530406362,-0.3627930426337961,-0.8495628697271801,2.1325287738003547,-0.6798759050785003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,C_M7
-0.11737629797726298,1.47119758447412,-0.4499655869123407,-0.8464869513880624,-0.37819791824355997,-0.7747106056500191,1.8469952560246732,-0.5761443698191974,-0.7796776353712865,-0.3627930426337961,1.1768681437483883,-0.46884407365421227,-0.6798759050785003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,F_M
-0.06371125394827344,1.47119758447412,-0.4499655869123407,-0.8464869513880624,-0.37819791824355997,1.2905767265887378,-0.5413243343382059,-0.5761443698191974,1.2823549530406362,-0.3627930426337961,-0.8495628697271801,-0.46884407365421227,-0.6798759050785003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,C_M
0.7144318844720748,-0.6795983680538517,-0.4499655869123407,1.18114458333218,-0.37819791824355997,-0.7747106056500191,-0.5413243343382059,-0.5761443698191974,1.2823549530406362,-0.3627930426337961,-0.8495628697271801,-0.46884407365421227,1.47059701634512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,G_M
0.7949294505155592,-0.6795983680538517,-0.4499655869123407,-0.8464869513880624,-0.37819791824355997,-0.7747106056500191,1.8469952560246732,-0.5761443698191974,-0.7796776353712865,-0.3627930426337961,1.1768681437483883,-0.46884407365421227,-0.6798759050785003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,F_M
0.9827571046170226,1.47119758447412,-0.4499655869123407,-0.8464869513880624,-0.37819791824355997,-0.7747106056500191,1.8469952560246732,-0.5761443698191974,-0.7796776353712865,-0.3627930426337961,1.1768681437483883,-0.46884407365421227,-0.6798759050785003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,F_M
